distance,tot_pos_uncertainty,device_name,date_time_1,date_time_2,location,neighborhood
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:04,2/2/2023 13:05,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,16,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:05,open outdoor area,Jericho
14.82188318,24,ARTYIPAL,2/2/2023 13:05,2/2/2023 13:06,open outdoor area,Jericho
0.05,30,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:06,open outdoor area,Jericho
14.26642656,25,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:06,open outdoor area,Jericho
0.05,19,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:06,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:06,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:06,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:06,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:06,open outdoor area,Jericho
0.05,16,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:06,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:06,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:06,2/2/2023 13:07,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,16,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,16,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:07,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:07,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,16,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,17,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,18,ARTYIPAL,2/2/2023 13:08,2/2/2023 13:08,open outdoor area,Jericho
0.05,16,ECSFFIUV,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
0.05,17,ECSFFIUV,2/2/2023 13:04,2/2/2023 13:04,open outdoor area,Jericho
